date, Madrid,Delhi,Beijing,Hong Kong,Los-Angeles,New-York,Paris,Seoul,California,Wuhan
2019/10/6,48,125,133,69,52,33,28,19,14,14
2019/10/7,46,89,120,77,56,48,41,68,9,9
2019/10/8,37,128,128,142,58,25,37,82,22,22
2019/10/9,40,113,140,119,61,21,63,20,23,23
2019/10/10,50,98,148,86,58,26,49,26,31,31
2019/10/11,49,132,46,75,60,28,48,43,33,33
2019/10/12,53,123,31,67,58,25,43,40,22,22
2019/10/13,52,101,80,60,55,17,40,58,18,18
2019/10/14,53,148,127,68,48,18,38,62,27,27
2019/10/15,57,179,34,77,71,16,44,43,19,19
2019/10/16,43,164,94,84,70,17,44,43,22,22
2019/10/17,46,171,131,77,58,26,56,61,25,25
2019/10/18,50,198,114,105,67,29,63,39,15,15
2019/10/19,50,189,95,118,55,38,53,61,17,17
2019/10/20,43,197,80,86,63,34,44,66,34,34
2019/10/21,36,203,42,89,50,27,35,39,38,38
2019/10/22,36,188,66,76,52,15,28,45,35,35
2019/10/23,33,181,89,66,51,21,44,87,20,20
2019/10/24,38,146,154,80,34,36,43,90,23,23
2019/10/25,46,155,156,96,44,47,52,86,21,21
2019/10/26,54,179,201,109,56,33,59,54,18,18
2019/10/27,58,174,154,90,57,15,49,61,21,21
2019/10/28,52,190,63,94,43,28,80,51,33,33
2019/10/29,52,231,124,79,41,28,69,59,67,67
2019/10/30,62,199,166,72,50,52,63,64,24,24
2019/11/1,49,217,163,81,58,39,49,75,55,55
2019/11/2,40,258,71,83,56,21,55,73,68,68
2019/11/3,42,273,98,84,41,27,55,47,54,54
2019/11/4,43,331,145,118,43,23,55,94,41,41
2019/11/5,49,361,90,124,37,25,56,124,15,15
2019/11/6,39,393,104,53,71,26,77,128,29,29
2019/11/7,38,399,153,76,65,27,80,105,41,41
2019/11/8,36,358,121,100,67,25,57,29,42,42
2019/11/9,31,660,90,71,64,35,37,78,36,36
2019/11/10,40,357,82,65,73,31,41,106,38,38
2019/11/11,37,289,97,80,96,45,38,81,37,37
2019/11/12,43,183,139,110,67,42,49,58,22,22
2019/11/13,44,221,118,98,43,37,58,73,35,35
2019/11/14,36,187,119,86,68,23,40,77,31,31
2019/11/15,35,196,82,105,79,20,53,59,18,18
2019/11/16,34,250,121,104,75,40,70,74,19,19
2019/11/17,37,304,162,98,79,71,68,76,31,31
2019/11/18,47,412,99,96,70,32,52,27,21,21
2019/11/19,40,410,69,91,65,18,50,55,49,49
2019/11/20,40,359,143,83,68,25,51,80,25,25
2019/11/21,59,343,47,109,40,46,51,62,19,19
2019/11/23,32,210,87,121,32,28,63,46,37,37
2019/11/24,37,156,101,98,52,22,59,37,41,41
2019/11/25,35,199,135,76,31,26,71,48,30,30
2019/11/26,50,201,139,75,35,33,66,75,27,27
2019/11/27,38,252,71,124,45,34,72,84,21,21
2019/11/28,36,244,71,109,42,52,69,77,23,23
2019/11/29,41,266,156,91,38,47,71,77,34,34
2019/11/30,38,165,173,95,51,32,49,62,35,35
2019/12/1,37,153,198,83,46,31,48,66,38,38
2019/12/2,36,173,197,71,27,59,62,85,40,40
2019/12/3,33,173,42,78,18,62,46,81,33,33
2019/12/4,34,129,55,68,28,59,37,91,19,19
2019/12/5,42,75,125,98,31,26,27,103,27,27
2019/12/6,39,104,36,75,26,19,38,109,28,28
2019/12/7,42,165,125,68,42,27,45,54,21,21
2019/12/8,50,182,143,68,54,24,58,64,27,27
2019/12/9,63,198,121,76,39,22,61,68,42,42
2019/12/10,55,263,52,98,38,32,74,46,44,44
2019/12/11,65,323,43,78,44,47,82,63,54,54
2019/12/12,59,322,63,89,29,40,96,100,72,72
2019/12/13,37,224,53,92,33,36,107,133,57,57
2019/12/14,37,320,76,76,43,37,77,148,17,17
2019/12/15,46,285,131,85,50,35,48,162,31,31
2019/12/16,50,299,137,92,52,37,39,139,33,33
2019/12/17,39,381,212,75,78,52,34,59,32,32
2019/12/18,52,339,237,81,85,34,66,70,36,36
2019/12/19,51,165,154,89,79,56,45,95,30,30
2019/12/20,37,128,37,116,25,48,44,95,35,35
2019/12/21,32,167,65,93,31,38,36,88,26,26
2019/12/22,39,159,82,86,32,42,43,78,27,27
2019/12/23,51,176,61,84,32,49,44,95,34,34
2019/12/24,53,192,145,78,55,38,60,68,55,55
2019/12/25,59,317,160,67,35,41,58,76,47,47
2019/12/26,51,355,45,61,38,57,61,89,60,60
2019/12/27,53,257,64,68,44,46,66,144,47,47
2019/12/28,46,188,52,102,26,52,41,134,44,44
2019/12/29,45,230,64,100,40,68,50,155,33,33
2019/12/30,51,264,130,68,34,75,36,129,44,44
2019/7/2,59,194,157,121,24,50,37,115,45,45
2019/7/3,57,209,108,122,36,54,45,89, , 
2019/7/4,59,243,164,83,46,65,47,96,34,34
2019/7/5,55,268,128,89,56,53,56,98,38,38
2019/7/6,61,281,61,116,58,58,43,81,35,35
2019/7/7,57,145,117,63,61,54,61,75,36,36
2019/7/8,53,149,152,91,61,19,92,88,38,38
2019/7/9,58,125,156,88,73,49,44,73,23,23
2019/7/10,53,106,34,37,97,57,70,68,17,17
2019/7/11,50,126,83,30,64,84,51,67,19,19
2019/7/12,51,116,87,39,55,56,48,51,16,16
2019/7/13,57,117,116,56,53,38,56,32,10,10
2019/7/14,72,139,95,46,60,41,62,36,19,19
2019/7/15,70,121,34,45,59,47,59,31,39,39
2019/7/16,55,160,53,44,65,49,53,12,46,46
2019/7/17,54,159,86,54,67,65,52,38,46,46
2019/7/18,59,163,99,63,68,40,102,83,35,35
2019/7/19,59,143,153,56,67,28,69,116,50,50
2019/7/20,59,124,87,61,71,35,47,98,59,59
2019/7/21,63,85,78,63,72,35,53,91,39,39
2019/7/22,72,79,154,67,60,22,53,152,19,19
2019/7/23,70,74,61,67,53,45,54,156,22,22
2019/7/24,63,93,149,70,43,55,63,84,46,46
2019/7/25,67,152,102,75,51,42,63,20,29,29
2019/7/26,66,130,137,109,43,52,50,33,32,32
2019/7/27,66,133,157,142,57,57,43,92,32,32
2019/7/28,45,136,143,89,54,54,48,52,23,23
2019/7/29,36,131,139,63,55,34,47,57,25,25
2019/7/30,45,138,153,58,60,12,59,68,23,23
2019/7/31,43,57,168,61,64,31,66,51,25,25
2019/8/1,47,98,86,56,59,42,70,52,27,27
